HO,MR,RCH,FULL,Type,Tech,Band,Operator
0.025,0.07200000000000001,0.012,0.037,PCell,LTE,Low,VZW
0.016,0.053000000000000005,0.013,0.029,PCell,LTE,Low,VZW
0.062,0.056999999999999995,0.012,0.074,PCell,LTE,Low,VZW
0.028,0.076,0.019,0.046,PCell,LTE,Low,VZW
0.028,0.05500000000000001,0.017,0.045,PCell,LTE,Low,VZW
0.029,0.075,0.019,0.048,PCell,LTE,Low,VZW
0.018,0.035,0.019,0.037,PCell,LTE,Low,VZW
0.016,0.034999999999999996,0.01,0.026,PCell,LTE,Low,VZW
0.015,0.034,0.014,0.029,PCell,LTE,Low,VZW
0.018,0.034,0.01,0.028,PCell,LTE,Low,VZW
0.015,0.042,0.01,0.024,PCell,LTE,Low,VZW
0.016,0.033,0.014,0.029,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.018,0.035,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.011,0.028,PCell,LTE,Low,VZW
0.017,0.009999999999999998,0.014,0.03,PCell,LTE,Low,VZW
0.014,0.044000000000000004,0.017,0.031,PCell,LTE,Low,VZW
0.014,0.06,0.013,0.026,PCell,LTE,Low,VZW
0.013,0.046,0.018,0.031,PCell,LTE,Low,VZW
0.013,0.066,0.018,0.03,PCell,LTE,Low,VZW
0.012,0.621,0.013,0.025,PCell,LTE,Low,VZW
0.013,0.108,0.014,0.027,PCell,LTE,Low,VZW
0.018,0.099,0.012,0.029,PCell,LTE,Low,VZW
0.015,0.04,0.016,0.031,PCell,LTE,Low,VZW
0.018,0.036000000000000004,0.02,0.037,PCell,LTE,Low,VZW
0.014,0.104,0.015,0.029,PCell,LTE,Low,VZW
0.057,0.08499999999999999,0.014,0.071,PCell,LTE,Low,VZW
0.014,0.044000000000000004,0.019,0.033,PCell,LTE,Low,VZW
0.019,0.036000000000000004,0.014,0.033,PCell,LTE,Low,VZW
0.014,0.041,0.019,0.032,PCell,LTE,Low,VZW
0.013,0.04,0.012,0.025,PCell,LTE,Low,VZW
0.02,0.036000000000000004,0.015,0.034,PCell,LTE,Low,VZW
0.014,0.42,0.014,0.028,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.011,0.028,PCell,LTE,Low,VZW
0.018,0.043,0.015,0.032,PCell,LTE,Low,VZW
0.018,0.065,0.018,0.036,PCell,LTE,Low,VZW
0.014,0.042,0.015,0.029,PCell,LTE,Low,VZW
0.014,0.039,0.014,0.027,PCell,LTE,Low,VZW
0.016,0.042,0.016,0.032,PCell,LTE,Low,VZW
0.014,0.066,0.017,0.031,PCell,LTE,Low,VZW
0.017,0.041999999999999996,0.018,0.034,PCell,LTE,Low,VZW
0.036,0.052,0.012,0.047,PCell,LTE,Low,VZW
0.016,0.054000000000000006,0.017,0.032,PCell,LTE,Low,VZW
0.013,0.046,0.018,0.031,PCell,LTE,Low,VZW
0.015,0.037,0.015,0.03,PCell,LTE,Low,VZW
0.015,0.033,0.012,0.027,PCell,LTE,Low,VZW
0.017,0.041999999999999996,0.014,0.031,PCell,LTE,Low,VZW
0.018,0.04000000000000001,0.015,0.033,PCell,LTE,Low,VZW
0.017,0.044,0.011,0.027,PCell,LTE,Low,VZW
0.014,0.045,0.018,0.032,PCell,LTE,Low,VZW
0.064,0.05,0.012,0.076,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.01,0.027,PCell,LTE,Low,VZW
0.02,0.045,0.018,0.038,PCell,LTE,Low,VZW
0.014,0.045,0.016,0.03,PCell,LTE,Low,VZW
0.014,0.044000000000000004,0.019,0.032,PCell,LTE,Low,VZW
0.013,0.036000000000000004,0.016,0.029,PCell,LTE,Low,VZW
0.018,0.035,0.016,0.033,PCell,LTE,Low,VZW
0.017,0.033,0.016,0.033,PCell,LTE,Low,VZW
0.018,0.046,0.012,0.029,PCell,LTE,Low,VZW
0.019,0.043,0.018,0.036,PCell,LTE,Low,VZW
0.016,0.044,0.013,0.029,PCell,LTE,Low,VZW
0.018,0.043,0.011,0.028,PCell,LTE,Low,VZW
0.017,0.044,0.013,0.03,PCell,LTE,Low,VZW
0.017,0.046,0.015,0.032,PCell,LTE,Low,VZW
0.017,0.033999999999999996,0.013,0.03,PCell,LTE,Low,VZW
0.013,0.039,0.019,0.032,PCell,LTE,Low,VZW
0.018,0.043,0.011,0.028,PCell,LTE,Low,VZW
0.018,0.044,0.018,0.035,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.014,0.032,PCell,LTE,Low,VZW
0.017,0.033999999999999996,0.01,0.027,PCell,LTE,Low,VZW
0.017,0.033,0.011,0.027,PCell,LTE,Low,VZW
0.017,0.045,0.012,0.029,PCell,LTE,Low,VZW
0.018,0.040999999999999995,0.014,0.031,PCell,LTE,Low,VZW
0.045,0.034,0.014,0.059,PCell,LTE,Low,VZW
0.015,0.05,0.016,0.031,PCell,LTE,Low,VZW
0.018,0.032,0.017,0.035,PCell,LTE,Low,VZW
0.019,0.043,0.01,0.029,PCell,LTE,Low,VZW
0.016,0.037,0.019,0.035,PCell,LTE,Low,VZW
0.02,0.029,0.017,0.036,PCell,LTE,Low,VZW
0.041,0.033999999999999996,0.016,0.057,PCell,LTE,Low,VZW
0.017,0.041,0.013,0.03,PCell,LTE,Low,VZW
0.016,0.034999999999999996,0.011,0.027,PCell,LTE,Low,VZW
0.019,0.048,0.017,0.035,PCell,LTE,Low,VZW
0.017,0.034999999999999996,0.016,0.033,PCell,LTE,Low,VZW
0.018,0.044,0.014,0.031,PCell,LTE,Low,VZW
0.019,0.035,0.015,0.033,PCell,LTE,Low,VZW
0.015,0.042,0.035,0.05,PCell,LTE,Low,VZW
0.014,0.044000000000000004,0.011,0.025,PCell,LTE,Low,VZW
0.014,0.04,0.013,0.027,PCell,LTE,Low,VZW
0.014,0.048,0.019,0.033,PCell,LTE,Low,VZW
0.016,0.042,0.014,0.03,PCell,LTE,Low,VZW
0.014,0.045,0.016,0.03,PCell,LTE,Low,VZW
0.018,0.028,0.017,0.035,PCell,LTE,Low,VZW
0.017,0.037,0.01,0.027,PCell,LTE,Low,VZW
0.014,0.036000000000000004,0.015,0.028,PCell,LTE,Low,VZW
0.015,0.036,0.01,0.024,PCell,LTE,Low,VZW
0.017,0.045,0.015,0.032,PCell,LTE,Low,VZW
0.017,0.037,0.018,0.034,PCell,LTE,Low,VZW
0.017,0.033999999999999996,0.014,0.03,PCell,LTE,Low,VZW
0.015,0.047,0.019,0.033,PCell,LTE,Low,VZW
0.016,0.05,0.015,0.03,PCell,LTE,Low,VZW
0.018,0.031000000000000003,0.015,0.033,PCell,LTE,Low,VZW
0.018,0.05299999999999999,0.014,0.031,PCell,LTE,Low,VZW
0.017,0.039,0.013,0.03,PCell,LTE,Low,VZW
0.014,0.035,0.018,0.032,PCell,LTE,Low,VZW
0.018,0.051000000000000004,0.014,0.032,PCell,LTE,Low,VZW
0.014,0.037,0.016,0.029,PCell,LTE,Low,VZW
0.014,0.033,0.018,0.032,PCell,LTE,Low,VZW
0.017,0.033,0.012,0.029,PCell,LTE,Low,VZW
0.016,0.051000000000000004,0.014,0.029,PCell,LTE,Low,VZW
0.013,0.046,0.012,0.025,PCell,LTE,Low,VZW
0.017,0.049,0.019,0.036,PCell,LTE,Low,VZW
0.017,0.045,0.017,0.034,PCell,LTE,Low,VZW
0.017,0.044,0.015,0.032,PCell,LTE,Low,VZW
0.018,0.044,0.017,0.035,PCell,LTE,Low,VZW
0.018,0.028,0.012,0.029,PCell,LTE,Low,VZW
0.018,0.036000000000000004,0.013,0.03,PCell,LTE,Low,VZW
0.019,0.032,0.014,0.033,PCell,LTE,Low,VZW
0.018,0.028,0.015,0.032,PCell,LTE,Low,VZW
0.02,0.030999999999999996,0.015,0.035,PCell,LTE,Low,VZW
0.018,0.03900000000000001,0.014,0.032,PCell,LTE,Low,VZW
0.018,0.033,0.017,0.034,PCell,LTE,Low,VZW
0.017,0.048,0.011,0.027,PCell,LTE,Low,VZW
0.02,0.045,0.014,0.033,PCell,LTE,Low,VZW
0.013,0.033,0.015,0.028,PCell,LTE,Low,VZW
0.018,0.037000000000000005,0.02,0.037,PCell,LTE,Low,VZW
0.018,0.048,0.018,0.036,PCell,LTE,Low,VZW
0.014,0.053000000000000005,0.019,0.032,PCell,LTE,Low,VZW
0.012,0.033,0.015,0.027,PCell,LTE,Low,VZW
0.015,0.048,0.014,0.029,PCell,LTE,Low,VZW
0.018,0.05,0.017,0.035,PCell,LTE,Low,VZW
0.015,0.035,0.015,0.029,PCell,LTE,Low,VZW
0.018,0.045,0.014,0.032,PCell,LTE,Low,VZW
0.015,0.047,0.015,0.029,PCell,LTE,Low,VZW
0.016,0.039,0.019,0.035,PCell,LTE,Low,VZW
0.017,0.024,0.012,0.029,PCell,LTE,Low,VZW
0.017,0.051000000000000004,0.016,0.033,PCell,LTE,Low,VZW
0.017,0.04,0.018,0.035,PCell,LTE,Low,VZW
0.018,0.041999999999999996,0.015,0.032,PCell,LTE,Low,VZW
0.013,0.039,0.015,0.028,PCell,LTE,Low,VZW
0.012,0.038000000000000006,0.015,0.027,PCell,LTE,Low,VZW
0.015,0.048,0.014,0.029,PCell,LTE,Low,VZW
0.018,0.038000000000000006,0.013,0.03,PCell,LTE,Low,VZW
0.016,0.045,0.014,0.029,PCell,LTE,Low,VZW
0.016,0.073,0.012,0.028,PCell,LTE,Low,VZW
0.015,0.045,0.011,0.025,PCell,LTE,Low,VZW
0.021,0.037000000000000005,0.015,0.035,PCell,LTE,Low,VZW
0.02,0.027,0.017,0.036,PCell,LTE,Low,VZW
0.013,0.069,0.014,0.027,PCell,LTE,Low,VZW
0.018,0.045,0.011,0.028,PCell,LTE,Low,VZW
0.061,0.041999999999999996,0.018,0.078,PCell,LTE,Low,VZW
0.016,0.013999999999999999,0.017,0.032,PCell,LTE,Low,VZW
0.022,0.07200000000000001,0.013,0.035,PCell,LTE,Low,VZW
0.076,0.137,0.012,0.088,PCell,LTE,Low,VZW
0.021,0.033,0.013,0.034,PCell,LTE,Low,VZW
0.02,0.009999999999999998,0.011,0.03,PCell,LTE,Low,VZW
0.024,0.002999999999999999,0.011,0.034,PCell,LTE,Low,VZW
0.027,0.044,0.01,0.036,PCell,LTE,Low,VZW
0.022,0.051,0.014,0.035,PCell,LTE,Low,VZW
0.025,0.044000000000000004,0.012,0.037,PCell,LTE,Low,VZW
0.022,0.009000000000000001,0.016,0.038,PCell,LTE,Low,VZW
0.065,0.07,0.016,0.08,PCell,LTE,Low,VZW
0.024,0.08099999999999999,0.012,0.036,PCell,LTE,Low,VZW
0.026,0.05600000000000001,0.015,0.04,PCell,LTE,Low,VZW
0.029,0.041999999999999996,0.01,0.038,PCell,LTE,Low,VZW
0.028,0.051000000000000004,0.019,0.046,PCell,LTE,Low,VZW
0.028,0.045,0.018,0.046,PCell,LTE,Low,VZW
0.028,0.04200000000000001,0.014,0.041,PCell,LTE,Low,VZW
0.023,0.066,0.015,0.038,PCell,LTE,Low,VZW
0.024,0.092,0.018,0.041,PCell,LTE,Low,VZW
0.027,0.051000000000000004,0.009,0.036,PCell,LTE,Low,VZW
0.067,0.091,0.017,0.084,PCell,LTE,Low,VZW
0.014,0.12000000000000001,0.012,0.025,PCell,LTE,Low,VZW
0.026,0.07200000000000001,0.015,0.041,PCell,LTE,Low,VZW
0.016,0.057999999999999996,0.034,0.05,PCell,LTE,Low,VZW
0.018,0.295,0.011,0.028,PCell,LTE,Low,VZW
0.054,0.044000000000000004,0.016,0.07,PCell,LTE,Low,VZW
0.015,0.066,0.016,0.031,PCell,LTE,Low,VZW
0.016,0.048,0.009,0.025,PCell,LTE,Low,VZW
0.017,0.041999999999999996,0.018,0.034,PCell,LTE,Low,VZW
0.016,0.072,0.017,0.032,PCell,LTE,Low,VZW
0.027,0.04300000000000001,0.011,0.037,PCell,LTE,Low,VZW
0.015,0.053000000000000005,0.016,0.03,PCell,LTE,Low,VZW
0.025,0.031,0.011,0.036,PCell,LTE,Low,VZW
0.024,0.08099999999999999,0.01,0.033,PCell,LTE,Low,VZW
0.015,0.061,0.015,0.03,PCell,LTE,Low,VZW
0.016,0.069,0.016,0.031,PCell,LTE,Low,VZW
0.024,0.059000000000000004,0.018,0.041,PCell,LTE,Low,VZW
0.024,0.051,0.016,0.04,PCell,LTE,Low,VZW
0.015,0.057999999999999996,0.01,0.024,PCell,LTE,Low,VZW
0.022,0.07,0.015,0.036,PCell,LTE,Low,VZW
0.024,0.069,0.014,0.037,PCell,LTE,Low,VZW
0.015,0.051000000000000004,0.019,0.033,PCell,LTE,Low,VZW
0.045,0.052000000000000005,0.016,0.06,PCell,LTE,Low,VZW
0.045,0.043,0.01,0.055,PCell,LTE,Low,VZW
0.033,0.08,0.015,0.048,PCell,LTE,Low,VZW
0.017,0.045,0.016,0.033,PCell,LTE,Low,VZW
0.039,0.043000000000000003,0.009,0.048,PCell,LTE,Low,VZW
0.04,0.042,0.012,0.051,PCell,LTE,Low,VZW
0.041,0.001999999999999995,0.008,0.049,PCell,LTE,Low,VZW
0.014,0.031,0.014,0.027,PCell,LTE,Low,VZW
0.023,0.04700000000000001,0.015,0.038,PCell,LTE,Low,VZW
0.04,0.052,0.016,0.056,PCell,LTE,Low,VZW
0.044,0.054000000000000006,0.009,0.053,PCell,LTE,Low,VZW
0.017,0.082,,,PCell,LTE,Low,VZW
0.042,0.04599999999999999,0.009,0.05,PCell,LTE,Low,VZW
0.04,0.054,0.013,0.053,PCell,LTE,Low,VZW
0.024,0.049999999999999996,0.011,0.035,PCell,LTE,Low,VZW
0.07,0.05199999999999999,0.009,0.078,PCell,LTE,Low,VZW
0.018,0.043,0.016,0.034,PCell,LTE,Low,VZW
0.016,0.049,0.012,0.028,PCell,LTE,Low,VZW
0.016,0.049,0.013,0.028,PCell,LTE,Low,VZW
0.017,0.052000000000000005,0.019,0.036,PCell,LTE,Low,VZW
0.044,0.05700000000000001,0.017,0.061,PCell,LTE,Low,VZW
0.024,0.044000000000000004,0.017,0.041,PCell,LTE,Low,VZW
0.045,0.047,0.013,0.058,PCell,LTE,Low,VZW
0.043,0.043,0.016,0.059,PCell,LTE,Low,VZW
0.021,0.05099999999999999,0.013,0.033,PCell,LTE,Low,VZW
0.044,0.011000000000000003,0.013,0.057,PCell,LTE,Low,VZW
0.018,0.0030000000000000027,0.011,0.029,PCell,LTE,Low,VZW
0.016,0.044,0.017,0.033,PCell,LTE,Low,VZW
0.024,0.048999999999999995,0.015,0.039,PCell,LTE,Low,VZW
0.019,0.047,0.008,0.027,PCell,LTE,Low,VZW
0.017,0.062,0.014,0.03,PCell,LTE,Low,VZW
0.019,0.03900000000000001,0.014,0.032,PCell,LTE,Low,VZW
0.062,0.043,0.017,0.079,PCell,LTE,Low,VZW
0.017,0.046,0.015,0.031,PCell,LTE,Low,VZW
0.016,0.046,0.009,0.025,PCell,LTE,Low,VZW
0.016,0.061,0.011,0.027,PCell,LTE,Low,VZW
0.018,0.043,0.017,0.035,PCell,LTE,Low,VZW
0.016,0.054000000000000006,0.015,0.031,PCell,LTE,Low,VZW
0.016,0.059,0.013,0.029,PCell,LTE,Low,VZW
0.019,0.073,0.013,0.032,PCell,LTE,Low,VZW
0.017,0.044,0.01,0.027,PCell,LTE,Low,VZW
0.016,0.048,0.014,0.03,PCell,LTE,Low,VZW
0.017,0.041,0.011,0.028,PCell,LTE,Low,VZW
0.018,0.047,0.011,0.029,PCell,LTE,Low,VZW
0.017,0.043,0.011,0.028,PCell,LTE,Low,VZW
0.018,0.049,0.01,0.028,PCell,LTE,Low,VZW
0.021,0.045,0.012,0.033,PCell,LTE,Low,VZW
0.024,0.06199999999999999,0.016,0.04,PCell,LTE,Low,VZW
0.045,0.044,0.012,0.057,PCell,LTE,Low,VZW
0.024,0.045000000000000005,0.015,0.039,PCell,LTE,Low,VZW
0.025,0.043000000000000003,0.009,0.034,PCell,LTE,Low,VZW
0.016,0.049,0.009,0.025,PCell,LTE,Low,VZW
0.024,0.047999999999999994,0.012,0.035,PCell,LTE,Low,VZW
0.044,0.05500000000000001,0.016,0.059,PCell,LTE,Low,VZW
0.019,0.06999999999999999,0.018,0.037,PCell,LTE,Low,VZW
0.076,0.084,,,PCell,LTE,Low,VZW
0.042,7.235,0.019,0.061,PCell,LTE,Low,VZW
0.024,0.048999999999999995,0.008,0.032,PCell,LTE,Low,VZW
0.025,0.048999999999999995,0.01,0.035,PCell,LTE,Low,VZW
0.048,0.043,0.016,0.063,PCell,LTE,Low,VZW
0.045,0.046,0.013,0.058,PCell,LTE,Low,VZW
0.043,0.047,0.014,0.057,PCell,LTE,Low,VZW
0.018,0.103,0.016,0.034,PCell,LTE,Low,VZW
0.021,0.05099999999999999,0.009,0.03,PCell,LTE,Low,VZW
0.016,0.044,0.017,0.033,PCell,LTE,Low,VZW
0.019,0.05399999999999999,0.013,0.032,PCell,LTE,Low,VZW
0.022,0.041,0.016,0.038,PCell,LTE,Low,VZW
0.039,0.043000000000000003,0.015,0.054,PCell,LTE,Low,VZW
0.039,0.04699999999999999,0.009,0.048,PCell,LTE,Low,VZW
0.037,0.051,0.009,0.046,PCell,LTE,Low,VZW
0.017,0.045,0.009,0.026,PCell,LTE,Low,VZW
0.022,0.058,0.016,0.038,PCell,LTE,Low,VZW
0.028,0.05500000000000001,0.018,0.045,PCell,LTE,Low,VZW
0.024,0.063,0.018,0.042,PCell,LTE,Low,VZW
0.031,0.048,0.019,0.049,PCell,LTE,Low,VZW
0.022,0.07999999999999999,0.013,0.035,PCell,LTE,Low,VZW
0.015,0.103,0.016,0.03,PCell,LTE,Low,VZW
0.014,0.081,0.015,0.029,PCell,LTE,Low,VZW
0.015,0.051000000000000004,0.013,0.028,PCell,LTE,Low,VZW
0.016,0.111,0.017,0.033,PCell,LTE,Low,VZW
0.013,0.05500000000000001,0.013,0.026,PCell,LTE,Low,VZW
0.018,0.12499999999999999,0.014,0.032,PCell,LTE,Low,VZW
0.018,0.083,0.014,0.032,PCell,LTE,Low,VZW
0.017,0.068,0.019,0.036,PCell,LTE,Low,VZW
0.015,0.04,0.01,0.025,PCell,LTE,Low,VZW
0.02,0.089,0.011,0.031,PCell,LTE,Low,VZW
0.016,0.053000000000000005,0.011,0.026,PCell,LTE,Low,VZW
0.014,0.072,0.011,0.025,PCell,LTE,Low,VZW
0.015,0.039,0.01,0.025,PCell,LTE,Low,VZW
0.018,0.043,0.01,0.028,PCell,LTE,Low,VZW
0.016,0.042,0.013,0.029,PCell,LTE,Low,VZW
0.056,0.045000000000000005,0.015,0.07,PCell,LTE,Low,VZW
0.022,0.060000000000000005,0.016,0.038,PCell,LTE,Low,VZW
0.02,0.05299999999999999,0.011,0.03,PCell,LTE,Low,VZW
0.013,0.143,0.017,0.029,PCell,LTE,Low,VZW
0.02,0.056999999999999995,0.01,0.03,PCell,LTE,Low,VZW
0.021,0.05399999999999999,0.015,0.035,PCell,LTE,Low,VZW
0.018,0.076,0.014,0.031,PCell,LTE,Low,VZW
0.012,0.06,0.012,0.024,PCell,LTE,Low,VZW
0.022,0.056,0.011,0.033,PCell,LTE,Low,VZW
0.017,0.06,0.017,0.034,PCell,LTE,Low,VZW
0.019,0.05199999999999999,0.089,0.108,PCell,LTE,Low,VZW
0.024,0.07200000000000001,0.013,0.037,PCell,LTE,Low,VZW
0.022,0.053,0.01,0.032,PCell,LTE,Low,VZW
0.061,0.064,0.014,0.075,PCell,LTE,Low,VZW
0.019,0.104,0.01,0.029,PCell,LTE,Low,VZW
0.017,0.05399999999999999,0.01,0.026,PCell,LTE,Low,VZW
0.013,0.116,0.011,0.024,PCell,LTE,Low,VZW
0.016,0.062,0.016,0.031,PCell,LTE,Low,VZW
0.021,0.022999999999999996,0.012,0.033,PCell,LTE,Low,VZW
0.02,0.043,0.018,0.037,PCell,LTE,Low,VZW
0.014,0.043000000000000003,0.009,0.023,PCell,LTE,Low,VZW
0.012,0.052000000000000005,0.013,0.025,PCell,LTE,Low,VZW
0.015,0.078,0.017,0.032,PCell,LTE,Low,VZW
0.015,0.055999999999999994,0.011,0.025,PCell,LTE,Low,VZW
0.014,0.075,0.018,0.032,PCell,LTE,Low,VZW
0.014,0.056999999999999995,0.014,0.027,PCell,LTE,Low,VZW
0.015,0.054000000000000006,0.013,0.027,PCell,LTE,Low,VZW
0.054,0.039,0.017,0.07,PCell,LTE,Low,VZW
0.059,0.044,0.016,0.074,PCell,LTE,Low,VZW
0.058,0.065,0.011,0.068,PCell,LTE,Low,VZW
0.021,0.016999999999999998,0.01,0.031,PCell,LTE,Low,VZW
0.017,0.098,0.014,0.03,PCell,LTE,Low,VZW
0.022,0.010000000000000002,0.018,0.04,PCell,LTE,Low,VZW
0.015,0.048,0.013,0.028,PCell,LTE,Low,VZW
0.018,0.111,0.013,0.03,PCell,LTE,Low,VZW
0.022,0.067,0.01,0.031,PCell,LTE,Low,VZW
0.016,0.077,0.01,0.025,PCell,LTE,Low,VZW
0.022,0.059000000000000004,0.017,0.038,PCell,LTE,Low,VZW
0.015,0.189,0.01,0.025,PCell,LTE,Low,VZW
0.014,0.143,0.014,0.028,PCell,LTE,Low,VZW
0.015,0.137,0.015,0.03,PCell,LTE,Low,VZW
0.03,0.07100000000000001,0.016,0.046,PCell,LTE,Low,VZW
0.063,0.039999999999999994,0.014,0.077,PCell,LTE,Low,VZW
0.013,0.099,0.012,0.025,PCell,LTE,Low,VZW
0.017,0.105,0.01,0.026,PCell,LTE,Low,VZW
0.056,0.068,0.018,0.074,PCell,LTE,Low,VZW
0.019,0.08299999999999999,0.017,0.035,PCell,LTE,Low,VZW
0.018,0.09,0.011,0.029,PCell,LTE,Low,VZW
0.018,0.083,0.011,0.029,PCell,LTE,Low,VZW
0.017,0.099,0.01,0.027,PCell,LTE,Low,VZW
0.057,0.059000000000000004,0.013,0.07,PCell,LTE,Low,VZW
0.053,0.08600000000000002,0.015,0.068,PCell,LTE,Low,VZW
0.016,0.089,0.017,0.033,PCell,LTE,Low,VZW
0.014,0.059,0.015,0.028,PCell,LTE,Low,VZW
0.055,0.061000000000000006,0.009,0.064,PCell,LTE,Low,VZW
0.055,0.07500000000000001,0.014,0.069,PCell,LTE,Low,VZW
0.027,0.064,0.016,0.043,PCell,LTE,Low,VZW
0.03,0.045,0.014,0.044,PCell,LTE,Low,VZW
0.029,0.067,0.016,0.045,PCell,LTE,Low,VZW
0.015,0.105,0.011,0.025,PCell,LTE,Low,VZW
0.015,0.133,0.015,0.03,PCell,LTE,Low,VZW
0.065,0.039999999999999994,0.016,0.08,PCell,LTE,Low,VZW
0.022,0.028000000000000004,0.016,0.037,PCell,LTE,Low,VZW
0.023,0.055,0.011,0.033,PCell,LTE,Low,VZW
0.026,0.08700000000000001,0.016,0.042,PCell,LTE,Low,VZW
0.028,0.052000000000000005,0.015,0.042,PCell,LTE,Low,VZW
0.02,0.106,0.017,0.036,PCell,LTE,Low,VZW
0.027,0.065,0.011,0.038,PCell,LTE,Low,VZW
0.022,0.066,0.012,0.033,PCell,LTE,Low,VZW
0.026,0.07100000000000001,0.014,0.04,PCell,LTE,Low,VZW
0.025,0.07500000000000001,0.009,0.034,PCell,LTE,Low,VZW
0.018,0.045,0.017,0.035,PCell,LTE,Low,VZW
0.058,0.054,0.013,0.07,PCell,LTE,Low,VZW
0.019,0.082,0.016,0.035,PCell,LTE,Low,VZW
0.018,0.12299999999999998,0.018,0.036,PCell,LTE,Low,VZW
0.013,0.043000000000000003,0.017,0.03,PCell,LTE,Low,VZW
0.054,0.09,0.015,0.068,PCell,LTE,Low,VZW
0.028,0.04200000000000001,0.016,0.044,PCell,LTE,Low,VZW
0.027,0.26299999999999996,0.11,0.136,PCell,LTE,Low,VZW
0.016,0.054000000000000006,0.015,0.03,PCell,LTE,Low,VZW
0.054,0.069,0.016,0.07,PCell,LTE,Low,VZW
0.035,0.063,0.014,0.049,PCell,LTE,Low,VZW
0.058,0.10900000000000001,0.01,0.068,PCell,LTE,Low,VZW
0.034,0.045,0.013,0.047,PCell,LTE,Low,VZW
0.053,0.122,0.015,0.067,PCell,LTE,Low,VZW
0.014,0.106,0.01,0.023,PCell,LTE,Low,VZW
0.053,0.092,0.014,0.066,PCell,LTE,Low,VZW
0.014,0.091,0.009,0.023,PCell,LTE,Low,VZW
0.054,0.09,0.012,0.065,PCell,LTE,Low,VZW
0.025,0.051,0.015,0.04,PCell,LTE,Low,VZW
0.029,0.063,0.016,0.045,PCell,LTE,Low,VZW
0.02,0.252,0.032,0.051,PCell,LTE,Low,VZW
0.021,0.09699999999999999,0.017,0.038,PCell,LTE,Low,VZW
0.037,0.07100000000000001,0.017,0.054,PCell,LTE,Low,VZW
0.036,0.08199999999999999,0.013,0.049,PCell,LTE,Low,VZW
0.031,0.013999999999999999,0.016,0.047,PCell,LTE,Low,VZW
0.02,0.075,,,PCell,LTE,Low,VZW
0.046,,0.02,0.066,PCell,LTE,Low,VZW
0.029,0.162,0.013,0.041,PCell,LTE,Low,VZW
0.028,0.07100000000000001,0.016,0.044,PCell,LTE,Low,VZW
0.028,0.162,0.014,0.042,PCell,LTE,Low,VZW
0.021,0.057999999999999996,0.018,0.039,PCell,LTE,Low,VZW
0.029,0.10400000000000001,0.012,0.041,PCell,LTE,Low,VZW
0.031,0.087,0.018,0.049,PCell,LTE,Low,VZW
0.02,0.059,0.018,0.038,PCell,LTE,Low,VZW
0.031,0.065,0.014,0.045,PCell,LTE,Low,VZW
0.031,0.222,0.014,0.044,PCell,LTE,Low,VZW
0.016,,0.013,0.029,PCell,LTE,Low,VZW
0.056,0.063,0.012,0.068,PCell,LTE,Low,VZW
0.058,0.095,0.015,0.072,PCell,LTE,Low,VZW
0.059,0.10900000000000001,0.011,0.069,PCell,LTE,Low,VZW
0.056,0.08100000000000002,0.011,0.067,PCell,LTE,Low,VZW
0.062,0.095,0.015,0.076,PCell,LTE,Low,VZW
0.018,0.117,0.015,0.032,PCell,LTE,Low,VZW
0.015,0.10200000000000001,0.013,0.027,PCell,LTE,Low,VZW
0.017,0.081,0.009,0.026,PCell,LTE,Low,VZW
0.056,0.067,0.014,0.069,PCell,LTE,Low,VZW
0.059,0.067,0.012,0.07,PCell,LTE,Low,VZW
0.054,0.07,0.014,0.068,PCell,LTE,Low,VZW
0.016,0.179,0.017,0.033,PCell,LTE,Low,VZW
0.059,0.059,0.012,0.07,PCell,LTE,Low,VZW
0.057,0.064,0.012,0.068,PCell,LTE,Low,VZW
0.055,0.067,0.011,0.066,PCell,LTE,Low,VZW
0.019,0.05,0.015,0.033,PCell,LTE,Low,VZW
0.018,0.089,0.009,0.026,PCell,LTE,Low,VZW
0.015,0.017,0.018,0.032,PCell,LTE,Low,VZW
0.02,0.05,0.009,0.029,PCell,LTE,Low,VZW
0.016,0.062,0.011,0.027,PCell,LTE,Low,VZW
0.019,0.05299999999999999,0.016,0.034,PCell,LTE,Low,VZW
0.015,0.025,0.017,0.032,PCell,LTE,Low,VZW
0.019,0.056999999999999995,0.016,0.035,PCell,LTE,Low,VZW
0.015,0.066,0.014,0.029,PCell,LTE,Low,VZW
0.017,0.051000000000000004,0.01,0.027,PCell,LTE,Low,VZW
0.058,0.047999999999999994,0.016,0.073,PCell,LTE,Low,VZW
0.012,0.11,0.009,0.021,PCell,LTE,Low,VZW
0.054,0.053,0.016,0.069,PCell,LTE,Low,VZW
0.022,0.062000000000000006,0.016,0.038,PCell,LTE,Low,VZW
0.018,0.038000000000000006,0.014,0.032,PCell,LTE,Low,VZW
0.064,0.026999999999999996,0.019,0.082,PCell,LTE,Low,VZW
0.066,0.034,0.015,0.081,PCell,LTE,Low,VZW
0.013,0.05600000000000001,0.013,0.025,PCell,LTE,Low,VZW
0.066,0.065,0.013,0.078,PCell,LTE,Low,VZW
