quality,stall
0.1,55.738
0.1,10.473
0.314,12.683
0.1,33.134
0.1,27.117
3.445,3.945
1.637,12.907
0.1,7.379
0.351,26.912
0.1,9.403
0.1,29.674
0.1,4.728
4,0
