quality,stall
0.1,49.825
1.728,12.016
0.708,13.025
0.665,34.99
2.478,28.325
3.307,4.78
1.707,13.029
3.242,7.407
0.751,27.919
3.217,13.248
0.105,33.592
1.012,5.366
4,0
