quality,stall
0.1,56.724
0.896,11.009
0.289,13.088
0.125,33.958
0.567,30.221
3.298,4.547
1.746,13.073
3.207,7.366
0.405,27.705
2.213,10.993
0.12,33.089
0.986,4.892
4,0
