quality,stall
0.1,55.889
0.1,10.438
1.25,12.59
0.1,32.918
1.127,27.175
3.463,4.5
1.64,12.91
0.1,7.306
0.1,26.62
0.1,10.237
0.1,29.96
0.1,4.727
4,0
