quality,stall
0.178,57.724
0.732,10.866
0.265,12.656
0.18,33.816
0.976,27.362
3.45,4.608
1.395,12.943
3.287,7.365
0.587,27.049
2.408,9.744
0.103,30.187
2.114,4.879
4,0
