timestamp,handoffType,horizontalHandoff,verticalHandoff
0.02,1,0,1
29.03,1,0,1
59.050000000000004,4,1,0
151.085,4,1,0
162.091,2,0,1
368.19100000000003,4,1,0
400.211,2,0,1
410.21900000000005,1,0,1
435.249,4,1,0
445.25500000000005,4,1,0
527.28600000000006,2,0,1
620.3430000000001,4,1,0
635.3430000000001,4,1,0
679.3910000000001,4,1,0
722.4300000000001,4,1,0
777.469,2,0,1
