row_type,target_frame_rate,game_latency,capture_latency,convert_latency,encode_latency,network_latency,decode_latency,display_latency,dropped,state,minRTT,maxRTT,gain,bitrate,ping,in_bitrate,in_pkts,in_qual,out_bitrate,out_pkts,out_qual,Event Technology,lte_mr_events,nr_mr_events,lte_ho_attempt,lte_ho_result,lte_ho_enb_type,lte_ho_freq_type,lte_ho_band_type,scg_mobility_attempt,scg_mobility_result,scg_mobility_type,menb_ho_attempt,menb_ho_result,menb_ho_type,lte_ho_category,nr_ho_category,time_since_start
bitrate_adapter,,,,,,,,,,2.0,49.0,69.0,1.25,28965.0,,,,,,,,,,,,,,,,,,,,,,,,25.0
slow,,16.13,2.94,0.04,12.0,34.61,1.4,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
slow,,16.13,2.96,0.03,12.08,34.95,1.4,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
socket_stats,,,,,,,,,,,,,,,55.0,20854.7,2941.8,100.0,73.4,70.2,100.0,,,,,,,,,,,,,,,,,27.0
slow,,16.14,2.97,0.04,12.1,34.35,1.65,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
bitrate_adapter,,,,,,,,,,2.0,48.0,71.0,1.25,30000.0,,,,,,,,,,,,,,,,,,,,,,,,29.000000000000004
slow,,16.09,2.94,0.04,12.1,34.5,1.64,8.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.000000000000004
slow,,16.11,2.94,0.04,12.09,35.15,1.57,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.000000000000004
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.000000000000004
slow,,16.15,2.97,0.04,12.09,35.34,1.65,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.000000000000004
socket_stats,,,,,,,,,,,,,,,60.0,25378.0,3695.0,100.0,68.2,66.5,100.0,,,,,,,,,,,,,,,,,32.0
slow,,16.16,2.98,0.04,12.0,35.7,1.66,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0
slow,,16.13,2.95,0.03,12.02,35.47,1.64,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
slow,,16.12,2.97,0.04,12.1,36.1,1.59,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
slow,,16.12,2.94,0.03,12.17,35.3,1.72,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
slow,,16.06,2.94,0.04,12.09,35.0,1.46,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
slow,,16.07,2.95,0.04,12.02,34.37,1.52,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
socket_stats,,,,,,,,,,,,,,,69.0,26068.1,3810.3,100.0,62.5,63.8,100.0,,,,,,,,,,,,,,,,,37.0
target,60.0,16.14,2.95,0.04,12.16,34.2,1.53,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
slow,,16.16,2.96,0.04,12.41,36.08,1.51,9.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
slow,,16.22,2.96,0.04,12.29,36.0,1.78,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
slow,,16.18,2.95,0.04,12.29,35.77,1.55,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,,,,,attempt,,modification,,,,,nsa_scgm,41.872566
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,,,,,,success,,,,,,,41.908033
bitrate_adapter,,,,,,,,,,2.0,52.0,211.0,0.75,22500.0,,,,,,,,,,,,,,,,,,,,,,,,42.0
slow,,16.14,2.96,0.04,12.16,59.0,2.43,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
socket_stats,,,,,,,,,,,,,,,59.0,26410.8,3874.7,100.0,62.4,64.7,100.0,,,,,,,,,,,,,,,,,42.0
target,60.0,16.06,2.95,0.03,12.08,33.84,1.43,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
bitrate_adapter,,,,,,,,,,2.0,52.0,140.0,0.75,16875.0,,,,,,,,,,,,,,,,,,,,,,,,45.0
