time_since_start,hw_avg_power,hw_avg_power_rolled,type
0.0,40.03989598080384,40.126679347116685,screen_off
1.0,40.30051528,40.3360160774,screen_off
2.0,41.0269268,40.968001687,screen_off
3.0,39.88589628,39.9278655302,screen_off
4.0,39.553537920000004,39.5100777918,screen_off
5.0,43.751727759999994,43.8057424708,screen_off
6.0,33.975083500000004,33.9202862668,screen_off
7.0,39.468569573914785,39.51197144868974,screen_off
8.0,44.62836558,44.562711281,screen_off
9.0,39.348302260000004,39.4128910208,screen_off
10.0,39.76819668,39.7315291648,screen_off
11.0,38.07705882,38.096149248399996,screen_off
12.0,230.92335588000003,230.816416718,screen_off
13.0,40.3275657,40.150729042799995,screen_off
14.0,44.35747205441088,44.64727112982597,screen_off
15.0,33.934087319999996,33.9175077574,screen_off
16.0,40.50490226,40.5040915788,screen_off
17.0,40.05048856,40.0361420344,screen_off
18.0,43.98237732,43.924370156,screen_off
19.0,40.1724258,40.2212651112,screen_off
20.0,33.8376622,33.8661300942,screen_off
21.0,44.794894420000006,44.7394194226,screen_off
22.0,43.11884150830166,43.20800672174435,screen_off
23.0,39.23894746,39.2073844892,screen_off
24.0,36.46793652,36.34104353,screen_off
25.0,39.23533074,39.3302603582,screen_off
26.0,39.89339898,39.9384866232,screen_off
27.0,42.12425328,42.037478786,screen_off
28.0,39.361263799999996,39.443646311,screen_off
29.0,33.67004798959792,33.68294114262852,screen_off
30.0,42.54224276,42.5208968664,screen_off
31.0,39.95246134,39.984250321,screen_off
32.0,43.90400758,43.851115627,screen_off
33.0,42.59884244,42.6259739872,screen_off
34.0,33.93944246,33.9159900854,screen_off
35.0,39.22323592,39.2518784896,screen_off
36.0,44.20591324,44.1565666604,screen_off
37.0,39.315125025005,39.370281631526304,screen_off
38.0,33.434522220000005,33.394338662,screen_off
39.0,42.2844524,42.311277065199995,screen_off
40.0,39.44065708,39.3791384784,screen_off
41.0,40.0024258,39.998727662600004,screen_off
42.0,42.94531988,42.5123331606,screen_off
43.0,35.66007512,36.1556269678,screen_off
44.0,39.91629831966393,39.942103271254254,screen_off
45.0,40.146751880000004,40.106598118200004,screen_off
46.0,43.00062478,43.0233145424,screen_off
47.0,33.37752422,33.356780501399996,screen_off
48.0,39.4759866,39.5189687804,screen_off
49.0,43.0051563,42.942654197399996,screen_off
50.0,39.38828832,39.4470992438,screen_off
51.0,40.33541574,40.3020727152,screen_off
52.0,39.66240570114023,39.61229351730346,screen_off
53.0,40.3754698,40.3862066068,screen_off
54.0,40.0158386,40.049239061,screen_off
55.0,42.80691626,42.7728172964,screen_off
56.0,34.0742796,34.1091903478,screen_off
57.0,40.03917416,39.8780162566,screen_off
58.0,42.10382634,42.260213284799995,screen_off
59.0,39.93751150230046,39.9589899439888,screen_off
60.0,40.18519386,40.1566411222,screen_off
61.0,36.54618114,36.5550851196,screen_off
62.0,42.82443678,42.7926442614,screen_off
63.0,40.34297132,40.3602025232,screen_off
64.0,44.19586766,44.204476332199995,screen_off
65.0,39.17656738,38.9660610514,screen_off
66.0,33.87896268,34.05815166,screen_off
0.0,498.35209340131973,497.8555951070064,screen_50
1.0,496.16970568000005,496.0897308454,screen_50
2.0,496.31534009999996,496.34918557059996,screen_50
3.0,503.59650526,500.8707067994,screen_50
4.0,1079.34528098,1079.3600641662,screen_50
5.0,487.36733774,489.56911485940003,screen_50
6.0,509.71454468,510.440264101,screen_50
7.0,491.58265403080617,491.61713583736747,screen_50
8.0,484.99498472,484.4973226032,screen_50
9.0,521.87201156,521.7918461598,screen_50
10.0,493.15517737999994,493.7559968944,screen_50
11.0,481.74930972,481.0675204174,screen_50
12.0,495.2856202,495.50969015,screen_50
13.0,489.32077904000005,488.93823868159996,screen_50
14.0,519.3058313262653,519.7111711816364,screen_50
15.0,481.67028991999996,481.17633303239995,screen_50
16.0,499.97446399999995,500.5816330988,screen_50
17.0,489.11589239999995,488.9848914266,screen_50
18.0,484.56682626,484.6294229522,screen_50
19.0,496.15016789999993,495.92235511459995,screen_50
20.0,485.82751342,485.7601317888,screen_50
21.0,494.76893764000005,494.0900338276,screen_50
22.0,492.7269514502901,493.35060323964797,screen_50
23.0,484.12804056000004,484.894195954,screen_50
24.0,478.74228742,478.44322812059994,screen_50
25.0,595.6733546199999,594.5730904492,screen_50
26.0,509.2274091,509.87654987279996,screen_50
27.0,486.63076786000005,486.7421727588,screen_50
28.0,489.43660048000004,489.4465962522,screen_50
29.0,548.5412634326865,546.1223360720144,screen_50
30.0,479.43131698,480.3150117956,screen_50
31.0,524.8398711,526.3843279282,screen_50
32.0,487.3383522,487.60337781699997,screen_50
33.0,506.49748056,506.1543676398,screen_50
34.0,490.47811220000006,490.59637885480004,screen_50
35.0,487.342458,487.1218820172,screen_50
36.0,496.3525212,496.08256012620006,screen_50
37.0,547.9030673734746,547.6606209639928,screen_50
38.0,488.4406873,489.2828236438,screen_50
39.0,475.0174675,474.9784609294,screen_50
40.0,484.13391818,484.0182619016,screen_50
41.0,500.67917454,500.68715789860005,screen_50
42.0,490.59641686000003,490.6323951492,screen_50
43.0,480.84794356000003,480.7455062056,screen_50
44.0,496.5364575115023,496.5967828563713,screen_50
45.0,482.59346402,483.1273539904,screen_50
46.0,486.54745328,486.12347375400003,screen_50
47.0,503.30389572,503.1243269462,screen_50
48.0,487.39390636,487.7225476084,screen_50
49.0,480.96920042000005,480.9992989196,screen_50
50.0,494.25535166,494.10717563220004,screen_50
51.0,502.83834192000006,502.57561594519996,screen_50
52.0,480.48210386077216,480.7076697333467,screen_50
53.0,502.58639526,502.615091978,screen_50
54.0,479.22343602,479.529924122,screen_50
55.0,481.40817366000005,480.884971274,screen_50
56.0,487.64037441999994,488.09575637060004,screen_50
57.0,487.89934347999997,487.69195913420003,screen_50
58.0,481.06894486,481.0016937178,screen_50
59.0,513.0633091818364,512.7796696503301,screen_50
60.0,531.7456867,532.0037887377999,screen_50
61.0,496.41614922,494.3507932518,screen_50
62.0,495.83888937999996,498.262422812,screen_50
63.0,478.322712,478.1556789474,screen_50
64.0,496.93348042,497.035953595,screen_50
65.0,486.66290982,486.10680091380004,screen_50
66.0,479.30162894,479.4077280308,screen_50
67.0,485.7667104620924,485.9362123740748,screen_50
68.0,493.57866678,493.1065992454,screen_50
69.0,501.8548232,502.2235298696,screen_50
70.0,475.96588854,476.1716368524,screen_50
71.0,478.34722914,478.52870474680003,screen_50
72.0,493.72980968,493.83919503,screen_50
0.0,563.3242845830835,563.5368367525032,screen_100
1.0,577.2142715,577.574694917,screen_100
2.0,577.8774709200001,577.8109267884,screen_100
3.0,565.59509632,565.6691309432,screen_100
4.0,569.23036766,568.8289928124001,screen_100
5.0,591.34263032,591.281018189,screen_100
6.0,569.82342422,570.1647539256,screen_100
7.0,573.3162526705341,572.4682674186837,screen_100
8.0,585.10867456,585.7040101274,screen_100
9.0,581.59218606,581.9671111114,screen_100
